"Judul,Deskripsi,Harga,Tahun"
"""Fullstack Web Developer"",""Bootcamp intensif untuk menjadi fullstack developer dengan JavaScript dan Node.js"",5000000,2020"
"""Data Science Masterclass"",""Pelajari data science dari nol dengan Python, SQL, dan machine learning."",7500000,2021"
"""Mobile App Development"",""Belajar membuat aplikasi Android dan iOS dengan Flutter"",6000000,2022"
"""Cyber Security Essentials"",""Dasar-dasar keamanan siber dan etika hacking"",5500000,2023"
"""UI/UX Design Fundamentals"",""Kelas desain UI/UX untuk pemula dengan Figma dan Adobe XD"",4000000,2024"
"""AI & Machine Learning Bootcamp"",""Bootcamp AI untuk belajar model prediktif dan deep learning"",9000000,2025"
"""Backend Developer with Laravel"",""Pelajari cara membangun API dan backend dengan Laravel"",5000000,2020"
"""Front-End Web Development"",""Bootcamp untuk belajar HTML, CSS, dan JavaScript."",4500000,2021"
"""React & Next.js Advanced"",""Kursus untuk menjadi ahli dalam React dan Next.js."",7000000,2022"
"""Blockchain Developer"",""Belajar membangun aplikasi berbasis blockchain."",8000000,2023"
"""Game Development with Unity"",""Bootcamp membuat game dengan Unity dan C#."",6500000,2024"
"""Big Data & Cloud Computing"",""Kursus untuk menguasai big data dan cloud services."",9500000,2025"
"""Internet of Things (IoT)"",""Pelajari cara membangun proyek IoT dengan Arduino dan Raspberry Pi."",5500000,2020"
"""DevOps Engineering"",""Bootcamp intensif untuk menjadi DevOps Engineer."",8500000,2021"
"""Digital Marketing Mastery"",""Belajar strategi digital marketing, SEO, dan iklan online."",4500000,2022"
"""Fullstack Python Developer"",""Pelajari Django dan Flask untuk membangun aplikasi web."",6000000,2023"
"""Product Management"",""Bootcamp manajemen produk untuk startup dan perusahaan teknologi."",5000000,2024"
"""Software Quality Assurance"",""Pelajari pengujian perangkat lunak manual dan otomatis."",4000000,2025"
"""Data Analyst Bootcamp"",""Bootcamp intensif untuk analisis data menggunakan Excel dan SQL."",5500000,2020"
"""Artificial Intelligence with Python"",""Bootcamp AI dengan proyek real-world menggunakan Python."",7500000,2021"
"""Networking & IT Security"",""Belajar jaringan komputer dan keamanan IT."",6000000,2022"
"""SQL for Data Analysis"",""Kursus SQL mendalam untuk analisis data."",3500000,2023"
"""Kotlin for Android Development"",""Belajar membuat aplikasi Android dengan Kotlin."",5000000,2024"
"""Swift for iOS Development"",""Pelajari Swift dan Xcode untuk mengembangkan aplikasi iOS."",5500000,2025"
"""Node.js & Express Backend"",""Bootcamp backend development dengan Node.js dan Express."",6500000,2020"
"""Advanced Java Programming"",""Pelajari pemrograman Java tingkat lanjut."",7000000,2021"
"""PHP & MySQL Web Development"",""Belajar membangun website dengan PHP dan MySQL."",4500000,2022"
"""C++ for Competitive Programming"",""Kursus C++ untuk pemrograman kompetitif."",4000000,2023"
"""Data Visualization with Tableau"",""Belajar visualisasi data dengan Tableau."",5000000,2024"
"""Python for Finance"",""Bootcamp Python untuk analisis keuangan dan trading."",7500000,2025"
"""Ethical Hacking & Penetration Testing"",""Kursus etika hacking dan pengujian penetrasi."",8000000,2020"
"""Google Cloud & AWS Certification"",""Pelajari cloud computing dengan Google Cloud dan AWS."",9500000,2021"
"""R Programming for Data Science"",""Kursus R untuk analisis data dan statistika."",4000000,2022"
"""TensorFlow & Deep Learning"",""Bootcamp deep learning menggunakan TensorFlow."",8500000,2023"
"""Automation Testing with Selenium"",""Belajar otomasi pengujian software dengan Selenium."",4500000,2024"
"""Agile & Scrum for Developers"",""Pelajari metodologi Agile dan Scrum untuk pengembangan perangkat lunak."",5000000,2025"
"""Cyber Threat Intelligence"",""Kursus tentang intelijen ancaman siber."",6000000,2020"
"""Python & Django Fullstack"",""Pelajari Django untuk membangun aplikasi fullstack."",7000000,2021"
"""Microsoft Azure Cloud"",""Bootcamp Azure untuk cloud computing."",7500000,2022"
"""IoT Security & Ethical Hacking"",""Pelajari keamanan IoT dan etika hacking."",8500000,2023"
"""Penetration Testing with Kali Linux"",""Kursus penetrasi sistem dengan Kali Linux."",8000000,2024"
"""Rust Programming Language"",""Bootcamp pemrograman dengan Rust."",5000000,2025"
"""Vue.js & Nuxt.js Development"",""Belajar Vue.js dan Nuxt.js untuk frontend development."",6000000,2020"
"""Spring Boot & Microservices"",""Pelajari Spring Boot untuk membangun microservices."",7500000,2021"
"""Kubernetes & Docker"",""Bootcamp DevOps dengan Kubernetes dan Docker."",8500000,2022"
"""Data Engineering with Spark"",""Belajar data engineering dengan Apache Spark."",9000000,2023"
"""Metaverse & VR Development"",""Kursus membangun aplikasi untuk metaverse dan VR."",10000000,2024"
"""Blockchain & Smart Contracts"",""Belajar smart contract dengan Solidity dan Ethereum."",9500000,2025"
